Parent,Total Testfiles,Total Deleted Testfiles,Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_False Detected Testfiles Line No,Algorithm_FAST++_False Detected Testfiles,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST++_Optimal execution time,Algorithm_FAST++_Optimal preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_False Detected Testfiles Line No,Algorithm_FAST-all_False Detected Testfiles,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-all_Optimal execution time,Algorithm_FAST-all_Optimal preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_False Detected Testfiles Line No,Algorithm_FAST-CS_False Detected Testfiles,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-CS_Optimal execution time,Algorithm_FAST-CS_Optimal preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_False Detected Testfiles Line No,Algorithm_FAST-pw_False Detected Testfiles,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time,Algorithm_FAST-pw_Optimal execution time,Algorithm_FAST-pw_Optimal preparation time
d8ae0bdbefd1df0dda95f3402c323ca93962d16e,87,1,['src/test/org/apache/commons/lang/IncompleteArgumentExceptionTest.java'],86,92,1,0,[86],['./src/test/org/apache/commons/lang/IncompleteArgumentExceptionTest.java'],[],"[3, 5, 78, 85, 23, 26]","['./src/test/org/apache/commons/lang/reflect/FieldUtilsTest.java', './src/test/org/apache/commons/lang/reflect/ConstructorUtilsTest.java', './src/test/org/apache/commons/lang/StringUtilsSubstringTest.java', './src/test/org/apache/commons/lang/SystemUtilsTest.java', './src/test/org/apache/commons/lang/text/StrBuilderAppendInsertTest.java', './src/test/org/apache/commons/lang/text/ExtendedMessageFormatTest.java']",18,0.48200240199912514,6.6424829030002,0.1303788440000062,0.007342921999224927,1,0,[86],['./src/test/org/apache/commons/lang/IncompleteArgumentExceptionTest.java'],[],"[1, 40, 73, 45, 81, 51]","['./src/pending/DateFormatterTest.java', './src/test/org/apache/commons/lang/math/RangeTest.java', './src/test/org/apache/commons/lang/CharEncodingTest.java', './src/test/org/apache/commons/lang/math/NumberRangeTest.java', './src/test/org/apache/commons/lang/CharUtilsTest.java', './src/test/org/apache/commons/lang/builder/ToStringBuilderTest.java']",23,0.052901120003298274,111.18998323100095,2.2197919449990877,0.001011488000585814,1,0,[86],['./src/test/org/apache/commons/lang/IncompleteArgumentExceptionTest.java'],[],"[9, 75, 43, 12, 55, 57]","['./src/test/org/apache/commons/lang/mutable/MutableFloatTest.java', './src/test/org/apache/commons/lang/ValidateTest.java', './src/test/org/apache/commons/lang/math/AbstractRangeTest.java', './src/test/org/apache/commons/lang/mutable/MutableByteTest.java', './src/test/org/apache/commons/lang/builder/MultiLineToStringStyleTest.java', './src/test/org/apache/commons/lang/builder/ToStringStyleTest.java']",9,0.04986856299547071,6.626485940998464,0.1325535249998211,0.0010654899997462053,1,0,[86],['./src/test/org/apache/commons/lang/IncompleteArgumentExceptionTest.java'],[],"[64, 51, 83, 84, 85, 87]","['./src/test/org/apache/commons/lang/ClassUtilsTest.java', './src/test/org/apache/commons/lang/builder/ToStringBuilderTest.java', './src/test/org/apache/commons/lang/LocaleUtilsTest.java', './src/test/org/apache/commons/lang/CharUtilsPerfTest.java', './src/test/org/apache/commons/lang/SystemUtilsTest.java', './src/test/org/apache/commons/lang/RandomStringUtilsTest.java']",1,0.37972367299698817,111.65212844500093,2.2270019890002004,0.01714340800026548
22861326c26a7feaa13f08f5cb8c8f68bedb1225,108,5,"['src/test/java/org/apache/commons/lang3/compare/ComparableComparatorTest.java', 'src/test/java/org/apache/commons/lang3/compare/ComparatorChainTest.java', 'src/test/java/org/apache/commons/lang3/compare/NullComparatorTest.java', 'src/test/java/org/apache/commons/lang3/compare/ReverseComparatorTest.java', 'src/test/java/org/apache/commons/lang3/compare/FixedOrderComparatorTest.java']",103,92,4,1,"[31, 35, 33, 32]","['./src/test/java/org/apache/commons/lang3/compare/ComparableComparatorTest.java', './src/test/java/org/apache/commons/lang3/compare/ComparatorChainTest.java', './src/test/java/org/apache/commons/lang3/compare/NullComparatorTest.java', './src/test/java/org/apache/commons/lang3/compare/FixedOrderComparatorTest.java']",['./src/test/java/org/apache/commons/lang3/compare/ReverseComparatorTest.java'],"[38, 41, 42, 88, 30]","['./src/test/java/org/apache/commons/lang3/text/translate/UnicodeEscaperTest.java', './src/test/java/org/apache/commons/lang3/text/translate/OctalUnescaperTest.java', './src/test/java/org/apache/commons/lang3/text/translate/LookupTranslatorTest.java', './src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java', './src/test/java/org/apache/commons/lang3/concurrent/AtomicSafeInitializerTest.java']",33,0.8944332670034782,7.746728720999272,0.15743362899956992,0.013696031000108633,2,3,"[31, 32]","['./src/test/java/org/apache/commons/lang3/compare/ComparableComparatorTest.java', './src/test/java/org/apache/commons/lang3/compare/FixedOrderComparatorTest.java']","['./src/test/java/org/apache/commons/lang3/compare/ComparatorChainTest.java', './src/test/java/org/apache/commons/lang3/compare/NullComparatorTest.java', './src/test/java/org/apache/commons/lang3/compare/ReverseComparatorTest.java']","[65, 66, 105, 106, 49, 50, 94]","['./src/test/java/org/apache/commons/lang3/tuple/ImmutablePairTest.java', './src/test/java/org/apache/commons/lang3/builder/StandardToStringStyleTest.java', './src/test/java/org/apache/commons/lang3/JavaVersionTest.java', './src/test/java/org/apache/commons/lang3/SystemUtilsTest.java', './src/test/java/org/apache/commons/lang3/text/CompositeFormatTest.java', './src/test/java/org/apache/commons/lang3/text/StrTokenizerTest.java', './src/test/java/org/apache/commons/lang3/StringUtilsTest.java']",4,0.07596915499834722,130.52578322000318,2.6478293560003294,0.0012404580002112198,1,4,[33],['./src/test/java/org/apache/commons/lang3/compare/NullComparatorTest.java'],"['./src/test/java/org/apache/commons/lang3/compare/ComparableComparatorTest.java', './src/test/java/org/apache/commons/lang3/compare/ComparatorChainTest.java', './src/test/java/org/apache/commons/lang3/compare/ReverseComparatorTest.java', './src/test/java/org/apache/commons/lang3/compare/FixedOrderComparatorTest.java']","[101, 105, 78, 86, 22, 24, 59, 63]","['./src/test/java/org/apache/commons/lang3/SerializationUtilsTest.java', './src/test/java/org/apache/commons/lang3/JavaVersionTest.java', './src/test/java/org/apache/commons/lang3/builder/CompareToBuilderTest.java', './src/test/java/org/apache/commons/lang3/CharSetUtilsTest.java', './src/test/java/org/apache/commons/lang3/concurrent/CallableBackgroundInitializerTest.java', './src/test/java/org/apache/commons/lang3/concurrent/BasicThreadFactoryTest.java', './src/test/java/org/apache/commons/lang3/time/DateUtilsFragmentTest.java', './src/test/java/org/apache/commons/lang3/tuple/MutablePairTest.java']",2,0.057956482000918186,7.621617031999449,0.15390263199969922,0.0010860189995582914,1,4,[33],['./src/test/java/org/apache/commons/lang3/compare/NullComparatorTest.java'],"['./src/test/java/org/apache/commons/lang3/compare/ComparableComparatorTest.java', './src/test/java/org/apache/commons/lang3/compare/ComparatorChainTest.java', './src/test/java/org/apache/commons/lang3/compare/ReverseComparatorTest.java', './src/test/java/org/apache/commons/lang3/compare/FixedOrderComparatorTest.java']","[70, 105, 106, 107, 108, 81, 85, 94]","['./src/test/java/org/apache/commons/lang3/builder/ToStringBuilderTest.java', './src/test/java/org/apache/commons/lang3/JavaVersionTest.java', './src/test/java/org/apache/commons/lang3/SystemUtilsTest.java', './src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java', './src/test/java/org/apache/commons/lang3/RandomStringUtilsTest.java', './src/test/java/org/apache/commons/lang3/ObjectUtilsTest.java', './src/test/java/org/apache/commons/lang3/ClassUtilsTest.java', './src/test/java/org/apache/commons/lang3/StringUtilsTest.java']",8,1.2409937289985464,130.9229614629976,2.614863393999258,0.02663662499981001
8a57de11eec842e392f7709eb56f202084998a40,85,1,['src/test/org/apache/commons/lang/IntHashMapTest.java'],84,92,1,0,[53],['./src/test/org/apache/commons/lang/IntHashMapTest.java'],[],"[8, 72, 15, 51, 20, 30]","['./src/test/org/apache/commons/lang/mutable/MutableObjectTest.java', './src/test/org/apache/commons/lang/IllegalClassExceptionTest.java', './src/test/org/apache/commons/lang/text/StrLookupTest.java', './src/test/org/apache/commons/lang/builder/HashCodeBuilderAndEqualsBuilderTest.java', './src/test/org/apache/commons/lang/text/CompositeFormatTest.java', './src/test/org/apache/commons/lang/math/IEEE754rUtilsTest.java']",33,0.4399707100019441,6.522418634005589,0.1317690699997911,0.010483632000614307,1,0,[53],['./src/test/org/apache/commons/lang/IntHashMapTest.java'],[],"[2, 37, 12, 83, 19, 58]","['./src/pending/CalendarUtilsTest.java', './src/test/org/apache/commons/lang/math/FractionTest.java', './src/test/org/apache/commons/lang/mutable/MutableByteTest.java', './src/test/org/apache/commons/lang/SystemUtilsTest.java', './src/test/org/apache/commons/lang/text/ExtendedMessageFormatTest.java', './src/test/org/apache/commons/lang/BitFieldTest.java']",10,0.05084529300802387,110.74015299600251,2.224265237000509,0.0009836870012804866,1,0,[53],['./src/test/org/apache/commons/lang/IntHashMapTest.java'],[],"[6, 46, 17, 49, 85, 60]","['./src/test/org/apache/commons/lang/mutable/MutableLongTest.java', './src/test/org/apache/commons/lang/builder/EqualsBuilderTest.java', './src/test/org/apache/commons/lang/text/StrMatcherTest.java', './src/test/org/apache/commons/lang/builder/NoFieldNamesToStringStyleTest.java', './src/test/org/apache/commons/lang/RandomStringUtilsTest.java', './src/test/org/apache/commons/lang/CharSetUtilsTest.java']",2,0.04770829599146964,6.538716647000911,0.13295858099991165,0.0009684970009402605,0,1,[],[],[],[],[],0,0.3664997150081035,110.64828557999863,0,0
00f699c1602dc108f3c4d343dccfe6e7a1cb5a58,87,2,"['src/test/org/apache/commons/lang/EntitiesTest.java', 'src/test/org/apache/commons/lang/EntitiesPerformanceTest.java']",85,92,2,0,"[78, 69]","['./src/test/org/apache/commons/lang/EntitiesTest.java', './src/test/org/apache/commons/lang/EntitiesPerformanceTest.java']",[],"[32, 7, 9, 50, 53]","['./src/test/org/apache/commons/lang/math/LongRangeTest.java', './src/test/org/apache/commons/lang/mutable/MutableShortTest.java', './src/test/org/apache/commons/lang/mutable/MutableFloatTest.java', './src/test/org/apache/commons/lang/builder/ToStringStyleTest.java', './src/test/org/apache/commons/lang/IntHashMapTest.java']",4,0.5018991999995706,6.7160910250022425,0.1345758930001466,0.010195660000135831,1,1,[69],['./src/test/org/apache/commons/lang/EntitiesPerformanceTest.java'],['./src/test/org/apache/commons/lang/EntitiesTest.java'],"[33, 7, 73, 42, 24, 29]","['./src/test/org/apache/commons/lang/math/RangeTest.java', './src/test/org/apache/commons/lang/mutable/MutableShortTest.java', './src/test/org/apache/commons/lang/IllegalClassExceptionTest.java', './src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java', './src/test/org/apache/commons/lang/time/DurationFormatUtilsTest.java', './src/test/org/apache/commons/lang/time/DateUtilsFragmentTest.java']",1,0.054096516997560684,111.67620299000373,2.226367776999723,0.001040972999362566,1,1,[69],['./src/test/org/apache/commons/lang/EntitiesPerformanceTest.java'],['./src/test/org/apache/commons/lang/EntitiesTest.java'],"[2, 10, 12, 87, 56, 28]","['./src/pending/CalendarUtilsTest.java', './src/test/org/apache/commons/lang/mutable/MutableDoubleTest.java', './src/test/org/apache/commons/lang/mutable/MutableByteTest.java', './src/test/org/apache/commons/lang/RandomStringUtilsTest.java', './src/test/org/apache/commons/lang/StringUtilsIsTest.java', './src/test/org/apache/commons/lang/time/DateUtilsRoundingTest.java']",7,0.052569146001587796,6.682881210997039,0.1328712730000916,0.0009910889993989258,0,2,[],[],[],[],[],0,0.38454459000240604,112.29601889300193,0,0
91a90af7673ade24edbb7c378b2a3b46fcf8e78a,97,1,['src/test/java/org/apache/commons/lang3/event/ReflectiveEventSupportTest.java'],96,92,1,0,[7],['./src/test/java/org/apache/commons/lang3/event/ReflectiveEventSupportTest.java'],[],"[64, 1, 3, 35, 82, 85, 27]","['./src/test/java/org/apache/commons/lang3/builder/ReflectionToStringBuilderExcludeTest.java', './src/pending/DateFormatterTest.java', './src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java', './src/test/java/org/apache/commons/lang3/text/translate/NumericEntityEscaperTest.java', './src/test/java/org/apache/commons/lang3/StringUtilsStartsEndsWithTest.java', './src/test/java/org/apache/commons/lang3/StringUtilsTest.java', './src/test/java/org/apache/commons/lang3/concurrent/BasicThreadFactoryTest.java']",5,0.5923655850010618,7.473291233996861,0.14667499999995925,0.017855314999906113,1,0,[7],['./src/test/java/org/apache/commons/lang3/event/ReflectiveEventSupportTest.java'],[],"[38, 13, 45, 16, 87, 90, 29]","['./src/test/java/org/apache/commons/lang3/text/StrLookupTest.java', './src/test/java/org/apache/commons/lang3/mutable/MutableObjectTest.java', './src/test/java/org/apache/commons/lang3/text/WordUtilsTest.java', './src/test/java/org/apache/commons/lang3/mutable/MutableBooleanTest.java', './src/test/java/org/apache/commons/lang3/StringUtilsTrimEmptyTest.java', './src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java', './src/test/java/org/apache/commons/lang3/concurrent/AbstractConcurrentInitializerTest.java']",3,0.061335146005149,121.9595124059988,2.456127141000252,0.0016197290005948162,0,1,[],[],[],[],[],0,0.055681405004179396,7.438343546000397,0,0,0,1,[],[],[],[],[],0,0.49540663799689355,124.42961451000156,0,0
1330e9dad70336423e7f52f0a0f5f97c107d620c,98,2,"['src/pending/CalendarUtilsTest.java', 'src/pending/DateFormatterTest.java']",96,92,2,0,"[2, 1]","['./src/pending/CalendarUtilsTest.java', './src/pending/DateFormatterTest.java']",[],"[36, 8, 40, 50, 30, 31]","['./src/test/java/org/apache/commons/lang3/text/translate/UnicodeUnescaperTest.java', './src/test/java/org/apache/commons/lang3/event/EventListenerSupportTest.java', './src/test/java/org/apache/commons/lang3/text/StrMatcherTest.java', './src/test/java/org/apache/commons/lang3/time/FastDateFormatTest.java', './src/test/java/org/apache/commons/lang3/concurrent/ConstantInitializerTest.java', './src/test/java/org/apache/commons/lang3/concurrent/AtomicSafeInitializerTest.java']",22,0.5396003450014177,7.220291227999041,0.14266626599965093,0.00843705100032821,2,0,"[2, 1]","['./src/pending/CalendarUtilsTest.java', './src/pending/DateFormatterTest.java']",[],"[65, 66, 97, 79, 92, 62]","['./src/test/java/org/apache/commons/lang3/builder/MultiLineToStringStyleTest.java', './src/test/java/org/apache/commons/lang3/builder/NoFieldNamesToStringStyleTest.java', './src/test/java/org/apache/commons/lang3/SystemUtilsTest.java', './src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveTest.java', './src/test/java/org/apache/commons/lang3/StringUtilsSubstringTest.java', './src/test/java/org/apache/commons/lang3/builder/SimpleToStringStyleTest.java']",28,0.061099059001207934,124.5526972539974,2.4880813270001454,0.0012155819995314232,1,1,[2],['./src/pending/CalendarUtilsTest.java'],['./src/pending/DateFormatterTest.java'],"[72, 41, 11, 28, 50, 92, 29]","['./src/test/java/org/apache/commons/lang3/StringUtilsIsTest.java', './src/test/java/org/apache/commons/lang3/text/StrSubstitutorTest.java', './src/test/java/org/apache/commons/lang3/mutable/MutableObjectTest.java', './src/test/java/org/apache/commons/lang3/concurrent/TimedSemaphoreTest.java', './src/test/java/org/apache/commons/lang3/time/FastDateFormatTest.java', './src/test/java/org/apache/commons/lang3/StringUtilsSubstringTest.java', './src/test/java/org/apache/commons/lang3/concurrent/BackgroundInitializerTest.java']",2,0.05520242099737516,7.300810270000511,0.14968301499993686,0.0011279270001978148,0,2,[],[],[],[],[],0,0.5144847299998219,126.12563808600135,0,0
db951873904b927b43f35478586f064ea6ea6deb,88,1,['src/test/org/apache/commons/lang/text/VariableFormatterTest.java'],87,92,1,0,[18],['./src/test/org/apache/commons/lang/text/VariableFormatterTest.java'],[],"[71, 74, 85, 57, 59, 61, 62]","['./src/test/org/apache/commons/lang/StringUtilsTrimEmptyTest.java', './src/test/org/apache/commons/lang/CharRangeTest.java', './src/test/org/apache/commons/lang/SystemUtilsTest.java', './src/test/org/apache/commons/lang/StringUtilsIsTest.java', './src/test/org/apache/commons/lang/BitFieldTest.java', './src/test/org/apache/commons/lang/CharSetUtilsTest.java', './src/test/org/apache/commons/lang/ArrayUtilsRemoveTest.java']",3,0.5031331719983427,6.43185398699552,0.1323234820001744,0.016658151000228827,1,0,[18],['./src/test/org/apache/commons/lang/text/VariableFormatterTest.java'],[],"[34, 5, 75, 48, 81, 83, 85]","['./src/test/org/apache/commons/lang/math/NumberRangeTest.java', './src/test/org/apache/commons/lang/mutable/MutableObjectTest.java', './src/test/org/apache/commons/lang/ArrayUtilsAddTest.java', './src/test/org/apache/commons/lang/builder/ReflectionToStringBuilderExcludeTest.java', './src/test/org/apache/commons/lang/NullArgumentExceptionTest.java', './src/test/org/apache/commons/lang/LocaleUtilsTest.java', './src/test/org/apache/commons/lang/SystemUtilsTest.java']",4,0.05686382099702314,103.63041331700242,2.070920291999755,0.0010476049992576009,1,0,[18],['./src/test/org/apache/commons/lang/text/VariableFormatterTest.java'],[],"[64, 72, 41, 73, 16, 29, 63]","['./src/test/org/apache/commons/lang/UnhandledExceptionTest.java', './src/test/org/apache/commons/lang/ValidateTest.java', './src/test/org/apache/commons/lang/builder/StandardToStringStyleTest.java', './src/test/org/apache/commons/lang/IllegalClassExceptionTest.java', './src/test/org/apache/commons/lang/text/StrMatcherTest.java', './src/test/org/apache/commons/lang/math/RangeTest.java', './src/test/org/apache/commons/lang/ArrayUtilsTest.java']",2,0.05060891199718753,6.45655749999969,0.13068937699972594,0.0009482390005359775,0,1,[],[],[],[],[],0,0.4151708380031778,103.9911902310032,0,0
2fa0b168d62a07365b2787d0ed97fa1c2cfb673b,137,1,['src/test/java/org/apache/commons/lang3/time/WeekYearTest.java'],136,92,1,0,[63],['./src/test/java/org/apache/commons/lang3/time/WeekYearTest.java'],[],"[37, 7, 11, 43, 45, 78, 79, 25, 60, 31]","['./src/test/java/org/apache/commons/lang3/text/translate/UnicodeUnescaperTest.java', './src/test/java/org/apache/commons/lang3/event/EventUtilsTest.java', './src/test/java/org/apache/commons/lang3/mutable/MutableObjectTest.java', './src/test/java/org/apache/commons/lang3/text/StrMatcherTest.java', './src/test/java/org/apache/commons/lang3/text/FormattableUtilsTest.java', './src/test/java/org/apache/commons/lang3/builder/ShortPrefixToStringStyleTest.java', './src/test/java/org/apache/commons/lang3/builder/DefaultToStringStyleTest.java', './src/test/java/org/apache/commons/lang3/concurrent/ConcurrentUtilsTest.java', './src/test/java/org/apache/commons/lang3/time/DateUtilsRoundingTest.java', './src/test/java/org/apache/commons/lang3/concurrent/ConstantInitializerTest.java']",9,1.3315432940000846,9.789807477000068,0.19130929699986154,0.005474151000044003,1,0,[63],['./src/test/java/org/apache/commons/lang3/time/WeekYearTest.java'],[],"[129, 41, 105, 77, 16, 116, 23, 25, 59, 124]","['./src/test/java/org/apache/commons/lang3/SerializationUtilsTest.java', './src/test/java/org/apache/commons/lang3/text/StrLookupTest.java', './src/test/java/org/apache/commons/lang3/ObjectUtilsTest.java', './src/test/java/org/apache/commons/lang3/builder/StandardToStringStyleTest.java', './src/test/java/org/apache/commons/lang3/mutable/MutableIntTest.java', './src/test/java/org/apache/commons/lang3/HashSetvBitSetTest.java', './src/test/java/org/apache/commons/lang3/concurrent/AtomicInitializerTest.java', './src/test/java/org/apache/commons/lang3/concurrent/ConcurrentUtilsTest.java', './src/test/java/org/apache/commons/lang3/time/DateFormatUtilsTest.java', './src/test/java/org/apache/commons/lang3/StringUtilsTrimEmptyTest.java']",15,0.10130598500018095,173.25422214099922,3.4668267750000723,0.001646160000063901,1,0,[63],['./src/test/java/org/apache/commons/lang3/time/WeekYearTest.java'],[],"[3, 68, 104, 106, 51, 20, 83, 22, 123, 31]","['./src/test/java/org/apache/commons/lang3/reflect/InheritanceUtilsTest.java', './src/test/java/org/apache/commons/lang3/math/FractionTest.java', './src/test/java/org/apache/commons/lang3/StringUtilsIsTest.java', './src/test/java/org/apache/commons/lang3/BitFieldTest.java', './src/test/java/org/apache/commons/lang3/time/FastDateParser_MoreOrLessTest.java', './src/test/java/org/apache/commons/lang3/exception/ContextedExceptionTest.java', './src/test/java/org/apache/commons/lang3/builder/SimpleToStringStyleTest.java', './src/test/java/org/apache/commons/lang3/concurrent/MultiBackgroundInitializerTest.java', './src/test/java/org/apache/commons/lang3/CharEncodingTest.java', './src/test/java/org/apache/commons/lang3/concurrent/ConstantInitializerTest.java']",4,0.07409486000051402,9.763436556000215,0.19658225400007723,0.0014798280001286912,0,1,[],[],[],[],[],0,1.772151171000587,174.44198937499914,0,0
2c499868dbf7cedc9a56c3d873fe9e287d7e0f29,108,3,"['src/test/java/org/apache/commons/lang3/compare/TestFixedOrderComparator.java', 'src/test/java/org/apache/commons/lang3/compare/TestComparatorChain.java', 'src/test/java/org/apache/commons/lang3/compare/TestReverseComparator.java']",105,92,1,2,[31],['./src/test/java/org/apache/commons/lang3/compare/TestComparatorChain.java'],"['./src/test/java/org/apache/commons/lang3/compare/TestFixedOrderComparator.java', './src/test/java/org/apache/commons/lang3/compare/TestReverseComparator.java']","[69, 108, 79, 81, 51, 89, 92, 29]","['./src/test/java/org/apache/commons/lang3/builder/HashCodeBuilderTest.java', './src/test/java/org/apache/commons/lang3/RandomStringUtilsTest.java', './src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java', './src/test/java/org/apache/commons/lang3/ObjectUtilsTest.java', './src/test/java/org/apache/commons/lang3/text/WordUtilsTest.java', './src/test/java/org/apache/commons/lang3/CharSetTest.java', './src/test/java/org/apache/commons/lang3/AnnotationUtilsTest.java', './src/test/java/org/apache/commons/lang3/concurrent/ConstantInitializerTest.java']",2,0.7034893219988589,7.780286708999483,0.15095593700061727,0.011458932000095956,1,2,[33],['./src/test/java/org/apache/commons/lang3/compare/TestReverseComparator.java'],"['./src/test/java/org/apache/commons/lang3/compare/TestFixedOrderComparator.java', './src/test/java/org/apache/commons/lang3/compare/TestComparatorChain.java']","[100, 75, 45, 15, 51, 20, 24, 95]","['./src/test/java/org/apache/commons/lang3/StringUtilsSubstringTest.java', './src/test/java/org/apache/commons/lang3/builder/NoFieldNamesToStringStyleTest.java', './src/test/java/org/apache/commons/lang3/text/StrMatcherTest.java', './src/test/java/org/apache/commons/lang3/exception/ExceptionUtilsTest.java', './src/test/java/org/apache/commons/lang3/text/WordUtilsTest.java', './src/test/java/org/apache/commons/lang3/concurrent/MultiBackgroundInitializerTest.java', './src/test/java/org/apache/commons/lang3/concurrent/BasicThreadFactoryTest.java', './src/test/java/org/apache/commons/lang3/CharEncodingTest.java']",3,0.07892951000394532,133.6777973660046,2.672088993000216,0.0012722869996650843,1,2,[31],['./src/test/java/org/apache/commons/lang3/compare/TestComparatorChain.java'],"['./src/test/java/org/apache/commons/lang3/compare/TestFixedOrderComparator.java', './src/test/java/org/apache/commons/lang3/compare/TestReverseComparator.java']","[4, 69, 68, 8, 13, 14, 15, 85]","['./src/test/java/org/apache/commons/lang3/reflect/ConstructorUtilsTest.java', './src/test/java/org/apache/commons/lang3/builder/HashCodeBuilderTest.java', './src/test/java/org/apache/commons/lang3/builder/DefaultToStringStyleTest.java', './src/test/java/org/apache/commons/lang3/mutable/MutableShortTest.java', './src/test/java/org/apache/commons/lang3/mutable/MutableByteTest.java', './src/test/java/org/apache/commons/lang3/mutable/MutableIntTest.java', './src/test/java/org/apache/commons/lang3/exception/ExceptionUtilsTest.java', './src/test/java/org/apache/commons/lang3/ClassUtilsTest.java']",5,0.058237337005266454,7.718742656999893,0.15709997600060888,0.0011408600003051106,0,3,[],[],[],[],[],0,1.2920974719982041,133.18898821699804,0,0
7952a5525444ab03243a9f80375050caf2419770,77,1,['src/test/org/apache/commons/lang/text/InterpolationTest.java'],76,92,1,0,[13],['./src/test/org/apache/commons/lang/text/InterpolationTest.java'],[],"[67, 3, 4, 8, 42, 59]","['./src/test/org/apache/commons/lang/WordUtilsTest.java', './src/test/org/apache/commons/lang/mutable/MutableObjectTest.java', './src/test/org/apache/commons/lang/mutable/MutableFloatTest.java', './src/test/org/apache/commons/lang/enum/ValuedEnumTest.java', './src/test/org/apache/commons/lang/builder/ToStringStyleTest.java', './src/test/org/apache/commons/lang/EntitiesPerformanceTest.java']",4,0.3906791670015082,5.621304586002225,0.11503747099959583,0.010723149000114063,1,0,[13],['./src/test/org/apache/commons/lang/text/InterpolationTest.java'],[],"[33, 67, 8, 19, 23, 25]","['./src/test/org/apache/commons/lang/builder/StandardToStringStyleTest.java', './src/test/org/apache/commons/lang/WordUtilsTest.java', './src/test/org/apache/commons/lang/enum/ValuedEnumTest.java', './src/test/org/apache/commons/lang/time/DateFormatUtilsTest.java', './src/test/org/apache/commons/lang/math/FloatRangeTest.java', './src/test/org/apache/commons/lang/math/FractionTest.java']",6,0.047055017997990944,86.57806385799813,1.7427848450006422,0.0009855799999058945,1,0,[13],['./src/test/org/apache/commons/lang/text/InterpolationTest.java'],[],"[35, 41, 10, 17, 19, 22]","['./src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java', './src/test/org/apache/commons/lang/builder/NoFieldNamesToStringStyleTest.java', './src/test/org/apache/commons/lang/enum/EnumUtilsTest.java', './src/test/org/apache/commons/lang/time/DateUtilsTest.java', './src/test/org/apache/commons/lang/time/DateFormatUtilsTest.java', './src/test/org/apache/commons/lang/math/IntRangeTest.java']",10,0.04413068600297265,5.598972877007327,0.11081920800097578,0.0008642809989396483,0,1,[],[],[],[],[],0,0.4053169760045421,86.33691561300657,0,0
