Parent,Total Testfiles,Total Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time
0d6a91f69853e57e7811438dde18270eaf161000,290,2,288,29,2,0,"[159, 165]","['./src/test/java/org/apache/commons/math/linear/BigMatrixImplTest.java', './src/test/java/org/apache/commons/math/linear/RealMatrixImplTest.java']",[],2,2.4837934590759687,11.343156951013952,2,0,"[159, 165]","['./src/test/java/org/apache/commons/math/linear/BigMatrixImplTest.java', './src/test/java/org/apache/commons/math/linear/RealMatrixImplTest.java']",[],1,1.845968567969976,371.09970508000697,2,0,"[159, 165]","['./src/test/java/org/apache/commons/math/linear/BigMatrixImplTest.java', './src/test/java/org/apache/commons/math/linear/RealMatrixImplTest.java']",[],5,0.12683141893649008,11.621021393919364,2,0,"[159, 165]","['./src/test/java/org/apache/commons/math/linear/BigMatrixImplTest.java', './src/test/java/org/apache/commons/math/linear/RealMatrixImplTest.java']",[],1,3.0867016690026503,373.6419263250282
b9b73fbef5c0f18aaef22ef60442518d7f23ec83,496,1,495,29,1,0,[263],['./src/test/java/org/apache/commons/math3/geometry/spherical/twod/SphericalCapGeneratorTest.java'],[],1,8.372877869027434,21.07713550697372,1,0,[263],['./src/test/java/org/apache/commons/math3/geometry/spherical/twod/SphericalCapGeneratorTest.java'],[],1,0.3014891510247253,703.0573954290303,1,0,[263],['./src/test/java/org/apache/commons/math3/geometry/spherical/twod/SphericalCapGeneratorTest.java'],[],1,0.23383480300253723,21.256319613035885,1,0,[263],['./src/test/java/org/apache/commons/math3/geometry/spherical/twod/SphericalCapGeneratorTest.java'],[],1,4.628828292974504,711.8804845150153
b8478df284c292cbc93405d1e89933cbc99bb40e,283,1,282,29,1,0,[263],['./src/test/java/org/apache/commons/math/optimization/direct/CMAESOptimizerTest.java'],[],1,2.794443708986364,12.193466188997263,1,0,[263],['./src/test/java/org/apache/commons/math/optimization/direct/CMAESOptimizerTest.java'],[],1,1.84799174199361,382.78337363500395,1,0,[263],['./src/test/java/org/apache/commons/math/optimization/direct/CMAESOptimizerTest.java'],[],1,0.13895321397285443,12.147981386999163,1,0,[263],['./src/test/java/org/apache/commons/math/optimization/direct/CMAESOptimizerTest.java'],[],1,2.908637086991803,382.9244405430072
57eff0d0c37ec003ebed48d3334c93cd9c038f64,465,2,463,29,2,0,"[243, 245]","['./src/test/java/org/apache/commons/math3/geometry/spherical/oned/SubChordTest.java', './src/test/java/org/apache/commons/math3/geometry/spherical/oned/ChordTest.java']",[],1,7.551942466987384,20.398532448994956,2,0,"[243, 245]","['./src/test/java/org/apache/commons/math3/geometry/spherical/oned/SubChordTest.java', './src/test/java/org/apache/commons/math3/geometry/spherical/oned/ChordTest.java']",[],5,0.23532988002261845,686.5596846730186,2,0,"[243, 245]","['./src/test/java/org/apache/commons/math3/geometry/spherical/oned/SubChordTest.java', './src/test/java/org/apache/commons/math3/geometry/spherical/oned/ChordTest.java']",[],1,0.22455890799392364,20.600202908000938,2,0,"[243, 245]","['./src/test/java/org/apache/commons/math3/geometry/spherical/oned/SubChordTest.java', './src/test/java/org/apache/commons/math3/geometry/spherical/oned/ChordTest.java']",[],1,3.714644745010446,694.0531704419918
dcde92e7d81790ee8faffe590b247ba0bb00b7a9,529,1,528,29,1,0,[514],['./src/test/java/org/apache/commons/math4/random/ValueServerTest.java'],[],1,9.701085219043307,22.416714692939422,1,0,[514],['./src/test/java/org/apache/commons/math4/random/ValueServerTest.java'],[],1,0.26882010205008555,766.3505214720208,1,0,[514],['./src/test/java/org/apache/commons/math4/random/ValueServerTest.java'],[],1,0.2528931409906363,22.60131124300824,1,0,[514],['./src/test/java/org/apache/commons/math4/random/ValueServerTest.java'],[],1,5.3453577229665825,775.2722487280116
7f8c5e256211085edcb5180310e7b6ec6a63b588,201,1,200,29,1,0,[4],['./src/mantissa/tests-src/org/spaceroots/mantissa/estimation/GaussNewtonEstimatorTest.java'],[],2,1.2132365859579295,7.609286027960479,1,0,[4],['./src/mantissa/tests-src/org/spaceroots/mantissa/estimation/GaussNewtonEstimatorTest.java'],[],1,0.994030089059379,208.18588095800078,1,0,[4],['./src/mantissa/tests-src/org/spaceroots/mantissa/estimation/GaussNewtonEstimatorTest.java'],[],1,0.09530816001642961,7.315476472009323,1,0,[4],['./src/mantissa/tests-src/org/spaceroots/mantissa/estimation/GaussNewtonEstimatorTest.java'],[],2,1.690995003998978,210.08503461592773
2650a4786cb13955c174ac6a7503171918b72a2f,416,1,415,29,1,0,[15],['./commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/util/MathUtilsTest.java'],[],2,5.167458761061425,16.739419438992627,1,0,[15],['./commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/util/MathUtilsTest.java'],[],1,0.18340547601110302,528.4073429490381,1,0,[15],['./commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/util/MathUtilsTest.java'],[],1,0.1766251280787401,16.48755206503847,0,1,[],[],[],0,3.154168929977459,531.8240608070337
b81be1fea344c07c3024011066f0c8bb8865cc65,498,1,497,29,1,0,[9],['./src/test/java/org/apache/commons/math4/util/ContinuedFractionTest.java'],[],1,8.74603030099388,21.137206196981424,1,0,[9],['./src/test/java/org/apache/commons/math4/util/ContinuedFractionTest.java'],[],2,0.2507431690173689,674.5598101139913,1,0,[9],['./src/test/java/org/apache/commons/math4/util/ContinuedFractionTest.java'],[],2,0.23233241900015855,21.556646090000868,0,1,[],[],[],0,4.568792934005614,681.251604066063
cbb10701a763a000b4311ec290baae0ee2732ac0,321,1,320,29,1,0,[321],['./src/test/java/org/apache/commons/math/ConvergenceExceptionTest.java'],[],1,3.6977361959980044,13.724820478986658,1,0,[321],['./src/test/java/org/apache/commons/math/ConvergenceExceptionTest.java'],[],2,2.3728592399893387,432.5624992359917,1,0,[321],['./src/test/java/org/apache/commons/math/ConvergenceExceptionTest.java'],[],1,0.15698468499613227,13.668106620985782,1,0,[321],['./src/test/java/org/apache/commons/math/ConvergenceExceptionTest.java'],[],1,3.8385803239871166,435.5835495199899
dc115509c871b36a9bda8af3d6655dc5869d7078,31,1,30,29,1,0,[26],['./src/test/org/apache/commons/math/RealSolverTest.java'],[],1,0.03433741600747453,2.9325824009501957,1,0,[26],['./src/test/org/apache/commons/math/RealSolverTest.java'],[],1,0.023461990960640833,46.2075295720133,1,0,[26],['./src/test/org/apache/commons/math/RealSolverTest.java'],[],2,0.017387495034199674,2.9175991070151213,1,0,[26],['./src/test/org/apache/commons/math/RealSolverTest.java'],[],1,0.033850430030724965,46.07933347999642
