Parent,Total Testfiles,Total Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time
34e6e8bf08d117e8c8924842b932290c8862b633,761,1,760,69,1,0,[588],['./pmd-core/src/test/java/net/sourceforge/pmd/lang/rule/XPathRuleTest.java'],[],5,9.539112113000002,11.230691007000008,1,0,[588],['./pmd-core/src/test/java/net/sourceforge/pmd/lang/rule/XPathRuleTest.java'],[],1,0.4219023450002055,247.13484527000026,1,0,[588],['./pmd-core/src/test/java/net/sourceforge/pmd/lang/rule/XPathRuleTest.java'],[],2,0.3094415189999964,11.303693734,1,0,[588],['./pmd-core/src/test/java/net/sourceforge/pmd/lang/rule/XPathRuleTest.java'],[],1,18.1395989970001,249.25479973300003
675710d0e790def5ffdb521d95ab3e3892b0f5b7,791,1,790,69,1,0,[531],['./pmd-java/src/test/java/net/sourceforge/pmd/cli/CLITest.java'],[],11,9.168820857012179,11.13716586600276,1,0,[531],['./pmd-java/src/test/java/net/sourceforge/pmd/cli/CLITest.java'],[],8,0.7948115609942761,260.2891145479989,1,0,[531],['./pmd-java/src/test/java/net/sourceforge/pmd/cli/CLITest.java'],[],7,0.31209915499493945,11.07803095899726,1,0,[531],['./pmd-java/src/test/java/net/sourceforge/pmd/cli/CLITest.java'],[],1,21.924292327996227,263.6410763930071
bec9a1b8a38ee3377c0be162ea65ef5cbc77cc1b,249,12,237,69,10,2,"[40, 37, 42, 38, 45, 33, 39, 41, 43, 32]","['./pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitAssertionsShouldIncludeMessageTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertSameInsteadOfAssertTrueTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitStaticSuiteRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertEqualsInsteadOfAssertTrueTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UnnecessaryBooleanAssertionTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/javabeans/BeanMembersShouldSerializeRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/TestClassWithoutTestCasesTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitTestsShouldContainAssertsTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitSpellingRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/javabeans/MissingSerialVersionUIDTest.java']","['./pmd/regress/test/net/sourceforge/pmd/rules/junit/SimplifyBooleanAssertionTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertNullInsteadOfAssertTrueTest.java']",1,1.6048815739886777,5.417850460999034,6,6,"[42, 38, 45, 33, 41, 36]","['./pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitStaticSuiteRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertEqualsInsteadOfAssertTrueTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UnnecessaryBooleanAssertionTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/javabeans/BeanMembersShouldSerializeRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitTestsShouldContainAssertsTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertNullInsteadOfAssertTrueTest.java']","['./pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitAssertionsShouldIncludeMessageTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertSameInsteadOfAssertTrueTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/SimplifyBooleanAssertionTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/TestClassWithoutTestCasesTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitSpellingRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/javabeans/MissingSerialVersionUIDTest.java']",12,0.6198133219913871,113.35842490698269,7,5,"[37, 38, 44, 33, 39, 43, 32]","['./pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertSameInsteadOfAssertTrueTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertEqualsInsteadOfAssertTrueTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/SimplifyBooleanAssertionTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/javabeans/BeanMembersShouldSerializeRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/TestClassWithoutTestCasesTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitSpellingRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/javabeans/MissingSerialVersionUIDTest.java']","['./pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitAssertionsShouldIncludeMessageTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitStaticSuiteRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UnnecessaryBooleanAssertionTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitTestsShouldContainAssertsTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertNullInsteadOfAssertTrueTest.java']",19,0.10230557599061285,5.451831751011923,0,12,[],[],[],0,2.341223764979077,115.29338092200487
5597715b8ea71287115fd9a8030a26593b99f558,743,1,742,69,1,0,[500],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/CommentUtilTest.java'],[],3,12.389553498998794,10.767749245999767,1,0,[500],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/CommentUtilTest.java'],[],11,0.4632518610023908,242.8700075659981,1,0,[500],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/CommentUtilTest.java'],[],2,0.2962554710020413,10.75147857599677,0,1,[],[],[],0,16.99772516900157,245.01171353599966
9ebf4a0f527b8ca6cc200cd62d364a55640471df,267,2,265,69,2,0,"[144, 151]","['./pmd/regress/test/net/sourceforge/pmd/ExternalRuleIDTest.java', './pmd/regress/test/net/sourceforge/pmd/SimpleRuleSetNameMapperTest.java']",[],15,2.162189269984083,6.319235864990333,2,0,"[144, 151]","['./pmd/regress/test/net/sourceforge/pmd/ExternalRuleIDTest.java', './pmd/regress/test/net/sourceforge/pmd/SimpleRuleSetNameMapperTest.java']",[],4,0.7550689079653239,131.27465098295943,2,0,"[144, 151]","['./pmd/regress/test/net/sourceforge/pmd/ExternalRuleIDTest.java', './pmd/regress/test/net/sourceforge/pmd/SimpleRuleSetNameMapperTest.java']",[],9,0.1165169959931518,6.398444261991244,0,2,[],[],[],0,2.7899881100311177,131.57851676597056
e115567351dc4de84df8212d5c5b18775c72369d,22,1,21,69,1,0,[13],['./pmd/regress/test/net/sourceforge/pmd/FunctionalTest.java'],[],5,0.012728102989058243,2.2369554820070334,1,0,[13],['./pmd/regress/test/net/sourceforge/pmd/FunctionalTest.java'],[],3,0.013471765989379492,6.93943440998919,1,0,[13],['./pmd/regress/test/net/sourceforge/pmd/FunctionalTest.java'],[],3,0.011907999993127305,2.2541314469999634,0,1,[],[],[],0,0.03580636400147341,6.9336101280096045
920b061083f489f287a2302ec12d05479a479779,721,1,720,69,1,0,[501],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTAssignmentOperatorTest.java'],[],5,7.7541273509850726,10.91135964300338,1,0,[501],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTAssignmentOperatorTest.java'],[],4,0.6629836929969315,243.51853888300684,1,0,[501],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTAssignmentOperatorTest.java'],[],1,0.29354265701476834,11.19325887901141,0,1,[],[],[],0,17.02709322199371,245.11032905599495
cd089a159fce7afcfae89b96f76544c4c15d4adc,191,4,187,69,4,0,"[65, 66, 67, 64]","['./pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedLocalVariableTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedFormalParameterRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateMethodRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateFieldRuleTest.java']",[],3,1.15460055697622,5.075751510965347,2,2,"[65, 67]","['./pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedLocalVariableTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateMethodRuleTest.java']","['./pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedFormalParameterRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateFieldRuleTest.java']",15,0.5862829559919192,102.83698277600342,4,0,"[65, 66, 67, 64]","['./pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedLocalVariableTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedFormalParameterRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateMethodRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateFieldRuleTest.java']",[],41,0.0828409309979179,5.139907180004229,1,3,[64],['./pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateFieldRuleTest.java'],"['./pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedLocalVariableTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedFormalParameterRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateMethodRuleTest.java']",1,1.4625786850156146,104.16663721300574
228ec52e14c771a2ec971c9667d594efb2909962,74,1,73,69,1,0,[50],['./pmd/regress/test/net/sourceforge/pmd/symboltable/ScopeTest.java'],[],1,0.14067932899706648,2.896295344005921,1,0,[50],['./pmd/regress/test/net/sourceforge/pmd/symboltable/ScopeTest.java'],[],6,0.036525550996884704,24.242351986991707,1,0,[50],['./pmd/regress/test/net/sourceforge/pmd/symboltable/ScopeTest.java'],[],2,0.030627632997493492,2.8345446930015896,0,1,[],[],[],0,0.22651747399686428,24.411828164995313
d6296bd85fb3981124ebd0bbe855c7f9f2a1ec7f,764,1,763,69,1,0,[487],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTLiteralTest.java'],[],1,13.376587111002209,11.488237332001063,1,0,[487],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTLiteralTest.java'],[],3,0.4382293260041479,248.54637412900502,1,0,[487],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTLiteralTest.java'],[],1,0.2976941220013032,11.119035100001383,0,1,[],[],[],0,18.742058233000535,251.00350742100227
