Parent,Total Testfiles,Total Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time
52feb7c331e9dce6df9c0cce119c2cbaa78e821e,339,3,336,99,1,2,[329],['./src/test/java/org/apache/commons/math3/optimization/BatteryNISTTest.java'],"['./src/test/java/org/apache/commons/math3/linear/PivotingQRSolverTest.java', './src/test/java/org/apache/commons/math3/linear/PivotingQRDecompositionTest.java']",42,6.056779874961649,12.054292368011374,0,3,[],[],[],0,2.0438369310068083,439.5333261099804,0,3,[],[],[],0,0.1440426879998995,12.24170588596462,0,3,[],[],[],0,6.857560312011628,444.0266137459839
15aac108f19c9a81edaaea3a08b370f4df0012fc,84,1,83,98,0,1,[],[],[],0,0.35260307892167475,3.4077886429877253,0,1,[],[],[],0,0.06084097108396236,73.16124122793553,1,0,[10],['./src/test/org/apache/commons/math/util/FixedDoubleArrayTest.java'],[],1,0.044569728983333334,3.405233812984079,0,1,[],[],[],0,0.3409592910466017,73.1069821579731
eed46beefb0152b0579e2631877c864bb3216e0c,495,1,494,99,1,0,[476],['./src/test/java/org/apache/commons/math4/random/UnitSphereRandomVectorGeneratorTest.java'],[],41,14.319556025016936,18.826404142047977,0,1,[],[],[],0,0.39689045105478726,652.6369703709497,0,1,[],[],[],0,0.2245676040329272,19.34866767800122,0,1,[],[],[],0,11.100593976021628,659.1316154459782
da11fb29e73d8ca7afae29f39827e75d212d4362,535,1,534,99,0,1,[],[],[],0,16.31575449900447,19.10497028399368,0,1,[],[],[],0,0.7446920619968296,726.9111451659919,0,1,[],[],[],0,0.22398378199977742,19.250172393003595,0,1,[],[],[],0,11.526456198000233,731.6860124980176
827d9644c864336fa84f15744375ba7412da047c,523,18,505,96,4,14,"[231, 240, 238, 244]","['./src/test/java/org/apache/commons/math4/rng/internal/source32/Well512aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/XorShift1024StarTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/SplitMix64Test.java', './src/test/java/org/apache/commons/math4/rng/Providers64ParametricTest.java']","['./src/test/java/org/apache/commons/math4/rng/internal/source32/MersenneTwisterTest.java', './src/test/java/org/apache/commons/math4/rng/Providers32ParametricTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/ISAACRandomTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well44497aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well1024aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well19937aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well44497bTest.java', './src/test/java/org/apache/commons/math4/rng/internal/util/NumberFactoryTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well19937cTest.java', './src/test/java/org/apache/commons/math4/rng/ProvidersCommonParametricTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/TwoCmresTest.java', './src/test/java/org/apache/commons/math4/rng/internal/util/SeedFactoryTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/JDKRandomTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/MersenneTwister64Test.java']",20,17.42660661904665,19.7223432759929,2,16,"[229, 231]","['./src/test/java/org/apache/commons/math4/rng/internal/source32/Well1024aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well512aTest.java']","['./src/test/java/org/apache/commons/math4/rng/internal/source32/MersenneTwisterTest.java', './src/test/java/org/apache/commons/math4/rng/Providers32ParametricTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/ISAACRandomTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well44497aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well19937aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well44497bTest.java', './src/test/java/org/apache/commons/math4/rng/internal/util/NumberFactoryTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/XorShift1024StarTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well19937cTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/SplitMix64Test.java', './src/test/java/org/apache/commons/math4/rng/ProvidersCommonParametricTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/TwoCmresTest.java', './src/test/java/org/apache/commons/math4/rng/internal/util/SeedFactoryTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/JDKRandomTest.java', './src/test/java/org/apache/commons/math4/rng/Providers64ParametricTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/MersenneTwister64Test.java']",5,0.7736846640182193,734.4912806209613,2,16,"[240, 238]","['./src/test/java/org/apache/commons/math4/rng/internal/source64/XorShift1024StarTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/SplitMix64Test.java']","['./src/test/java/org/apache/commons/math4/rng/internal/source32/MersenneTwisterTest.java', './src/test/java/org/apache/commons/math4/rng/Providers32ParametricTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/ISAACRandomTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well44497aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well1024aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well19937aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well44497bTest.java', './src/test/java/org/apache/commons/math4/rng/internal/util/NumberFactoryTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well512aTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/Well19937cTest.java', './src/test/java/org/apache/commons/math4/rng/ProvidersCommonParametricTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/TwoCmresTest.java', './src/test/java/org/apache/commons/math4/rng/internal/util/SeedFactoryTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source32/JDKRandomTest.java', './src/test/java/org/apache/commons/math4/rng/Providers64ParametricTest.java', './src/test/java/org/apache/commons/math4/rng/internal/source64/MersenneTwister64Test.java']",24,0.22480765198997688,19.496676100010518,0,18,[],[],[],0,11.411259112021071,737.0781063889735
4140e01266cf6ba3b2d3ef373dcd8357c30d8d08,521,1,520,99,0,1,[],[],[],0,17.02096863099996,19.418813020001835,0,1,[],[],[],0,0.8119716630017138,714.6405684430001,0,1,[],[],[],0,0.22225834500113706,19.308667479005635,0,1,[],[],[],0,11.67054990899851,717.0072750789986
076fe24409fb17c9b9eb640dc25ac5d007459162,409,1,408,99,0,1,[],[],[],0,10.632529516995419,15.019836176012177,0,1,[],[],[],0,0.5188915079997969,522.4409673179834,0,1,[],[],[],0,0.17587707796337781,14.967053094987932,0,1,[],[],[],0,6.501924499956658,526.6874549320055
9a3b7e4797155f3a0d087f37e83a6dba94dc3305,490,1,489,99,0,1,[],[],[],0,12.286677129028249,17.413269208016573,1,0,[391],['./src/test/java/org/apache/commons/math4/primes/PrimesTest.java'],[],12,0.7413776509929448,615.9918718150075,0,1,[],[],[],0,0.21055718605202856,17.929755919976742,0,1,[],[],[],0,9.76847777301009,622.3520814850126
9cfd17601bcb30ea734b8261d2a3fa4dc5ed5d9e,411,2,409,99,1,1,[154],['./commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/stat/descriptive/ListUnivariateImplTest.java'],['./commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/stat/descriptive/MixedListUnivariateImplTest.java'],39,9.735365998014458,15.359462500957306,0,2,[],[],[],0,0.2613878769770963,519.1872413760066,1,1,[148],['./commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/stat/descriptive/MixedListUnivariateImplTest.java'],['./commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/stat/descriptive/ListUnivariateImplTest.java'],50,0.17640787301934324,15.400499795017822,0,2,[],[],[],0,6.876281969009142,530.1372920210197
9fca795acfb74a5954229743780a71a7c0b16c76,414,1,413,99,0,1,[],[],[],0,10.94802325697674,15.930584817018826,0,1,[],[],[],0,0.2749624580319505,555.985705279003,1,0,[236],['./commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/ml/neuralnet/sofm/KohonenTrainingTaskTest.java'],[],20,0.18226234687608667,15.753541187063092,0,1,[],[],[],0,7.353223622019868,561.0015452650259
