Parent,Total Testfiles,Total Deleted Testfiles,Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_False Detected Testfiles Line No,Algorithm_FAST++_False Detected Testfiles,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST++_Optimal execution time,Algorithm_FAST++_Optimal preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_False Detected Testfiles Line No,Algorithm_FAST-all_False Detected Testfiles,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-all_Optimal execution time,Algorithm_FAST-all_Optimal preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_False Detected Testfiles Line No,Algorithm_FAST-CS_False Detected Testfiles,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-CS_Optimal execution time,Algorithm_FAST-CS_Optimal preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_False Detected Testfiles Line No,Algorithm_FAST-pw_False Detected Testfiles,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time,Algorithm_FAST-pw_Optimal execution time,Algorithm_FAST-pw_Optimal preparation time
0d9f6b677ae67cbd749ebca817139041d1977831,114,2,"['gson/src/test/java/com/google/gson/functional/ThrowableFunctionalTest.java', 'gson/src/test/java/com/google/gson/internal/reflect/UnsafeReflectionAccessorTest.java']",112,98,1,1,[2],['./gson/src/test/java/com/google/gson/internal/reflect/UnsafeReflectionAccessorTest.java'],['./gson/src/test/java/com/google/gson/functional/ThrowableFunctionalTest.java'],[71],['./gson/src/test/java/com/google/gson/functional/TreeTypeAdaptersTest.java'],18,0.7931000359999985,5.3400477539998406,0.10242030999995677,0.0015486439999676804,0,2,[],[],[],[],[],0,0.09919939300027636,117.54151612399994,0,0,0,2,[],[],[],[],[],0,0.061414232000004176,5.371846207000033,0,0,0,2,[],[],[],[],[],0,1.3447313070002451,119.33258413299984,0,0
b4dab86b105c85e6b7d7106c9ff11e3e923e3485,115,1,['gson/src/test/java/com/google/gson/internal/LinkedHashTreeMapTest.java'],114,99,0,1,[],[],[],[],[],0,0.7979801090007186,5.3137563269986,0,0,0,1,[],[],[],[],[],0,0.09554934299944762,119.16219187999968,0,0,1,0,[14],['./gson/src/test/java/com/google/gson/internal/LinkedHashTreeMapTest.java'],[],[],[],7,0.06227742699979899,5.36414518499987,0.1077976359999866,0.0013238530000307946,0,1,[],[],[],[],[],0,1.3106031139998322,120.4308447579997,0,0
f777a192ee13fd59048aa7ba640cc8023051c89d,85,9,"['gson/src/test/java/com/google/gson/FieldNamingStrategy2AdapterTest.java', 'gson/src/test/java/com/google/gson/LowerCamelCaseSeparatorNamingPolicyTest.java', 'gson/src/test/java/com/google/gson/UpperCaseNamingPolicyTest.java', 'gson/src/test/java/com/google/gson/JavaFieldNamingPolicyTest.java', 'gson/src/test/java/com/google/gson/UpperCamelCaseSeparatorNamingPolicyTest.java', 'gson/src/test/java/com/google/gson/ModifyFirstLetterNamingPolicyTest.java', 'gson/src/test/java/com/google/gson/SerializedNameAnnotationInterceptingNamingPolicyTest.java', 'gson/src/test/java/com/google/gson/CamelCaseSeparatorNamingPolicyTest.java', 'gson/src/test/java/com/google/gson/LowerCaseNamingPolicyTest.java']",76,89,5,4,"[66, 51, 78, 53, 74]","['./gson/src/test/java/com/google/gson/FieldNamingStrategy2AdapterTest.java', './gson/src/test/java/com/google/gson/LowerCamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/JavaFieldNamingPolicyTest.java', './gson/src/test/java/com/google/gson/CamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/LowerCaseNamingPolicyTest.java']","['./gson/src/test/java/com/google/gson/UpperCaseNamingPolicyTest.java', './gson/src/test/java/com/google/gson/UpperCamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/ModifyFirstLetterNamingPolicyTest.java', './gson/src/test/java/com/google/gson/SerializedNameAnnotationInterceptingNamingPolicyTest.java']","[82, 60, 13, 55]","['./gson/src/test/java/com/google/gson/DefaultInetAddressTypeAdapterTest.java', './gson/src/test/java/com/google/gson/JsonArrayTest.java', './gson/src/test/java/com/google/gson/functional/CollectionTest.java', './gson/src/test/java/com/google/gson/JsonNullTest.java']",8,0.46544569500088073,4.627345205000665,0.0934080439999434,0.01466611599994394,2,7,"[78, 53]","['./gson/src/test/java/com/google/gson/JavaFieldNamingPolicyTest.java', './gson/src/test/java/com/google/gson/CamelCaseSeparatorNamingPolicyTest.java']","['./gson/src/test/java/com/google/gson/FieldNamingStrategy2AdapterTest.java', './gson/src/test/java/com/google/gson/LowerCamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/UpperCaseNamingPolicyTest.java', './gson/src/test/java/com/google/gson/UpperCamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/ModifyFirstLetterNamingPolicyTest.java', './gson/src/test/java/com/google/gson/SerializedNameAnnotationInterceptingNamingPolicyTest.java', './gson/src/test/java/com/google/gson/LowerCaseNamingPolicyTest.java']","[36, 39, 44, 49, 83, 20, 27]","['./gson/src/test/java/com/google/gson/functional/EscapingTest.java', './gson/src/test/java/com/google/gson/functional/StringTest.java', './gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java', './gson/src/test/java/com/google/gson/JsonDeserializerExceptionWrapperTest.java', './proto/src/test/java/com/google/gson/protobuf/functional/ProtosWithComplexAndRepeatedFieldsTest.java', './gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java', './gson/src/test/java/com/google/gson/functional/InterfaceTest.java']",13,0.06231201300079192,83.90517316599926,1.6650381449999259,0.0011652849998426973,2,7,"[66, 70]","['./gson/src/test/java/com/google/gson/FieldNamingStrategy2AdapterTest.java', './gson/src/test/java/com/google/gson/UpperCamelCaseSeparatorNamingPolicyTest.java']","['./gson/src/test/java/com/google/gson/LowerCamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/UpperCaseNamingPolicyTest.java', './gson/src/test/java/com/google/gson/JavaFieldNamingPolicyTest.java', './gson/src/test/java/com/google/gson/ModifyFirstLetterNamingPolicyTest.java', './gson/src/test/java/com/google/gson/SerializedNameAnnotationInterceptingNamingPolicyTest.java', './gson/src/test/java/com/google/gson/CamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/LowerCaseNamingPolicyTest.java']","[32, 65, 4, 5, 11, 12, 75]","['./gson/src/test/java/com/google/gson/functional/VersioningTest.java', './gson/src/test/java/com/google/gson/JsonObjectTest.java', './gson/src/test/java/com/google/gson/internal/TypeMapTest.java', './gson/src/test/java/com/google/gson/functional/InheritanceTest.java', './gson/src/test/java/com/google/gson/functional/PrimitiveCharacterTest.java', './gson/src/test/java/com/google/gson/functional/FieldExclusionTest.java', './gson/src/test/java/com/google/gson/GsonBuilderTest.java']",3,0.049386543000764505,4.43078003000096,0.08723467999993773,0.000794569999925443,1,8,[78],['./gson/src/test/java/com/google/gson/JavaFieldNamingPolicyTest.java'],"['./gson/src/test/java/com/google/gson/FieldNamingStrategy2AdapterTest.java', './gson/src/test/java/com/google/gson/LowerCamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/UpperCaseNamingPolicyTest.java', './gson/src/test/java/com/google/gson/UpperCamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/ModifyFirstLetterNamingPolicyTest.java', './gson/src/test/java/com/google/gson/SerializedNameAnnotationInterceptingNamingPolicyTest.java', './gson/src/test/java/com/google/gson/CamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/LowerCaseNamingPolicyTest.java']","[44, 80, 49, 82, 81, 83, 84, 85]","['./gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java', './gson/src/test/java/com/google/gson/DisjunctionExclusionStrategyTest.java', './gson/src/test/java/com/google/gson/JsonDeserializerExceptionWrapperTest.java', './gson/src/test/java/com/google/gson/DefaultInetAddressTypeAdapterTest.java', './gson/src/test/java/com/google/gson/DefaultDateTypeAdapterTest.java', './proto/src/test/java/com/google/gson/protobuf/functional/ProtosWithComplexAndRepeatedFieldsTest.java', './proto/src/test/java/com/google/gson/protobuf/functional/ProtosWithPrimitiveTypesTest.java', './extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java']",4,0.4291443310012255,83.73822077700038,1.6595782659999259,0.008518715000036536
25f0014305b8418da278629ee9726f9b3aa79b48,76,1,['gson/src/test/java/com/google/gson/reflect/TypeTokenTest.java'],75,98,0,1,[],[],[],[],[],0,0.3439665660011997,4.0715789739988395,0,0,0,1,[],[],[],[],[],0,0.06436518600003183,72.12498080499972,0,0,1,0,[1],['./gson/src/test/java/com/google/gson/reflect/TypeTokenTest.java'],[],[],[],9,0.04024581499970736,3.944530085000679,0.08166859299990392,0.000996928999938973,0,1,[],[],[],[],[],0,0.36090506500022457,73.09315414700222,0,0
faa5464e848ab9c6afc46e38eb416e7a156a23e1,80,5,"['gson/src/test/java/com/google/gson/TypeInfoArrayTest.java', 'gson/src/test/java/com/google/gson/TypeInfoMapTest.java', 'gson/src/test/java/com/google/gson/TypeInfoFactoryTest.java', 'gson/src/test/java/com/google/gson/TypeUtilsTest.java', 'gson/src/test/java/com/google/gson/TypeInfoTest.java']",75,93,2,3,"[71, 51]","['./gson/src/test/java/com/google/gson/TypeInfoMapTest.java', './gson/src/test/java/com/google/gson/TypeInfoTest.java']","['./gson/src/test/java/com/google/gson/TypeInfoArrayTest.java', './gson/src/test/java/com/google/gson/TypeInfoFactoryTest.java', './gson/src/test/java/com/google/gson/TypeUtilsTest.java']","[64, 8, 49]","['./gson/src/test/java/com/google/gson/UpperCamelCaseSeparatorNamingPolicyTest.java', './gson/src/test/java/com/google/gson/functional/JsonTreeTest.java', './gson/src/test/java/com/google/gson/InnerClassExclusionStrategyTest.java']",15,0.39043522700012545,4.200181938997957,0.07835723700009112,0.0006356210001285945,2,3,"[48, 72]","['./gson/src/test/java/com/google/gson/TypeInfoArrayTest.java', './gson/src/test/java/com/google/gson/TypeInfoFactoryTest.java']","['./gson/src/test/java/com/google/gson/TypeInfoMapTest.java', './gson/src/test/java/com/google/gson/TypeUtilsTest.java', './gson/src/test/java/com/google/gson/TypeInfoTest.java']","[12, 28, 39]","['./gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java', './gson/src/test/java/com/google/gson/functional/ExposeFieldsTest.java', './gson/src/test/java/com/google/gson/JsonDeserializerExceptionWrapperTest.java']",20,0.05986022099705224,75.44474961999731,1.4929568119996475,0.0012594519998856413,2,3,"[48, 72]","['./gson/src/test/java/com/google/gson/TypeInfoArrayTest.java', './gson/src/test/java/com/google/gson/TypeInfoFactoryTest.java']","['./gson/src/test/java/com/google/gson/TypeInfoMapTest.java', './gson/src/test/java/com/google/gson/TypeUtilsTest.java', './gson/src/test/java/com/google/gson/TypeInfoTest.java']","[25, 78, 57]","['./gson/src/test/java/com/google/gson/functional/InternationalizationTest.java', './gson/src/test/java/com/google/gson/DefaultDateTypeAdapterTest.java', './gson/src/test/java/com/google/gson/JsonParserTest.java']",7,0.04773040599866363,4.215261867998379,0.08667129500008741,0.0010149130002901074,0,5,[],[],[],[],[],0,0.38520204500218824,75.38737867300006,0,0
cdd5d80b85155c21c61f888fb3e70c65e72edef7,86,4,"['gson/src/test/java/com/google/gson/NullExclusionStrategyTest.java', 'gson/src/test/java/com/google/gson/MemoryRefStackTest.java', 'gson/src/test/java/com/google/gson/DefaultConstructorAllocatorTest.java', 'gson/src/test/java/com/google/gson/MappedObjectConstructorTest.java']",82,95,2,2,"[58, 60]","['./gson/src/test/java/com/google/gson/MemoryRefStackTest.java', './gson/src/test/java/com/google/gson/MappedObjectConstructorTest.java']","['./gson/src/test/java/com/google/gson/NullExclusionStrategyTest.java', './gson/src/test/java/com/google/gson/DefaultConstructorAllocatorTest.java']","[18, 6]","['./gson/src/test/java/com/google/gson/functional/RawSerializationTest.java', './gson/src/test/java/com/google/gson/functional/ArrayTest.java']",50,0.39152449600032924,4.363628042000073,0.09289977300022656,0.01234954999972615,1,3,[81],['./gson/src/test/java/com/google/gson/NullExclusionStrategyTest.java'],"['./gson/src/test/java/com/google/gson/MemoryRefStackTest.java', './gson/src/test/java/com/google/gson/DefaultConstructorAllocatorTest.java', './gson/src/test/java/com/google/gson/MappedObjectConstructorTest.java']","[40, 80, 13]","['./gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java', './gson/src/test/java/com/google/gson/DisjunctionExclusionStrategyTest.java', './gson/src/test/java/com/google/gson/functional/CustomSerializerTest.java']",2,0.07550556799878905,84.42075554700068,1.6941609210002753,0.001289757999984431,1,3,[60],['./gson/src/test/java/com/google/gson/MappedObjectConstructorTest.java'],"['./gson/src/test/java/com/google/gson/NullExclusionStrategyTest.java', './gson/src/test/java/com/google/gson/MemoryRefStackTest.java', './gson/src/test/java/com/google/gson/DefaultConstructorAllocatorTest.java']","[64, 17, 21]","['./gson/src/test/java/com/google/gson/JsonParserTest.java', './gson/src/test/java/com/google/gson/functional/InstanceCreatorTest.java', './gson/src/test/java/com/google/gson/functional/UncategorizedTest.java']",8,0.04588664299944867,4.35990647600147,0.09413512900027854,0.000899868000033166,0,4,[],[],[],[],[],0,0.443325556999298,84.31208041499895,0,0
411c5c0b502401c7af381a64e94253972b7db5f2,79,1,['gson/gson-codegen/src/test/java/com/google/gson/codegen/functional/CodeGenFunctionalTest.java'],78,98,1,0,[1],['./gson/gson-codegen/src/test/java/com/google/gson/codegen/functional/CodeGenFunctionalTest.java'],[],[],[],25,0.3875648739999633,4.598054613997192,0.08462636199965345,0.0008095890002550732,0,1,[],[],[],[],[],0,0.061816783999347535,86.3087659309981,0,0,1,0,[1],['./gson/gson-codegen/src/test/java/com/google/gson/codegen/functional/CodeGenFunctionalTest.java'],[],[],[],46,0.04800480299945775,4.518057882000903,0.0883379120000427,0.000988675000371586,0,1,[],[],[],[],[],0,0.39434419900044304,85.62378757900206,0,0
ddde79c861cd2a3f62c33650698942cac1bb961c,74,1,['gson/src/test/java/com/google/gson/LruCacheTest.java'],73,98,0,1,[],[],[],[],[],0,0.304227329999776,4.375978201000635,0,0,0,1,[],[],[],[],[],0,0.05803468800104383,77.97643600699985,0,0,0,1,[],[],[],[],[],0,0.042322445998706826,4.286643293999077,0,0,0,1,[],[],[],[],[],0,0.3543474729990521,77.74805042899925,0,0
7f9762db633dde22b801e365d4ae02d50acaa6bf,82,1,['gson/src/test/java/com/google/gson/JsonFieldNameValidatorTest.java'],81,98,1,0,[63],['./gson/src/test/java/com/google/gson/JsonFieldNameValidatorTest.java'],[],[],[],5,0.4054825860002893,4.2771406850006315,0.08385887400027059,0.0006030610002198955,1,0,[63],['./gson/src/test/java/com/google/gson/JsonFieldNameValidatorTest.java'],[],[],[],19,0.06491993400004503,77.78197384699979,1.6194256620001397,0.001309665999997378,0,1,[],[],[],[],[],0,0.04346512099982647,4.145701757999177,0,0,1,0,[63],['./gson/src/test/java/com/google/gson/JsonFieldNameValidatorTest.java'],[],[],[],44,0.4170184129993686,78.80119822599863,1.5556827820000763,0.008113426999898365
9245bebdba9a3227674f3c0b08d86165891f02cc,53,1,['gson/src/test/java/com/google/gson/JsonSerializerExceptionWrapperTest.java'],52,98,1,0,[27],['./gson/src/test/java/com/google/gson/JsonSerializerExceptionWrapperTest.java'],[],[],[],28,0.1616230119989268,3.1928992439998183,0.062445365000030506,0.0029412159999537835,1,0,[27],['./gson/src/test/java/com/google/gson/JsonSerializerExceptionWrapperTest.java'],[],[],[],34,0.040116147999697205,44.510066375000406,0.8969708320000791,0.000770103999911953,1,0,[27],['./gson/src/test/java/com/google/gson/JsonSerializerExceptionWrapperTest.java'],[],[],[],16,0.02960168500067084,3.216889926998647,0.06539051799995832,0.0006581349998668884,0,1,[],[],[],[],[],0,0.1841395819999434,43.848694386999796,0,0
