Parent,Total Testfiles,Total Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time
f2f621342004ab009c3e3d819a61a251775b4cae,165,1,164,99,0,1,[],[],[],0,0.5256129630070063,3.362385426000401,0,1,[],[],[],0,0.24517721497250022,59.45820846599963,0,1,[],[],[],0,0.062103337986627594,3.669252871972276,0,1,[],[],[],0,1.0792966720473487,60.38074245299504
0b776f338abff64bb10ef1da30caa25ad70dbccb,761,1,760,99,0,1,[],[],[],0,15.569554042020172,16.719445235983585,0,1,[],[],[],0,0.7359259270087932,451.2255635510228,0,1,[],[],[],0,0.6030816710117506,22.074675350959296,0,1,[],[],[],0,39.13590738199855,398.63505647201237
fd9ea76ddc7c932d2deae590d138ebf057cd33e4,46,7,39,84,3,4,"[25, 29, 28]","['./pmd/regress/test/net/sourceforge/pmd/cpd/GSTTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/CPDTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenTest.java']","['./pmd/regress/test/net/sourceforge/pmd/cpd/TileTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenSetsTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/OccurrencesTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenListTest.java']",5,0.03685248599992974,1.8929749740002535,3,4,"[23, 29, 28]","['./pmd/regress/test/net/sourceforge/pmd/cpd/TileTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/CPDTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenTest.java']","['./pmd/regress/test/net/sourceforge/pmd/cpd/GSTTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenSetsTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/OccurrencesTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenListTest.java']",45,0.030272104999824023,13.882818901999713,4,3,"[23, 25, 29, 27]","['./pmd/regress/test/net/sourceforge/pmd/cpd/TileTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/GSTTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/CPDTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/OccurrencesTest.java']","['./pmd/regress/test/net/sourceforge/pmd/cpd/TokenSetsTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenListTest.java']",30,0.022064247999821873,2.6370372169999996,1,6,[29],['./pmd/regress/test/net/sourceforge/pmd/cpd/CPDTest.java'],"['./pmd/regress/test/net/sourceforge/pmd/cpd/TileTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/GSTTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenSetsTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/OccurrencesTest.java', './pmd/regress/test/net/sourceforge/pmd/cpd/TokenListTest.java']",1,0.14370707099993751,16.644797911000012
3b151e31c4138f06204d637b396747e089478f61,810,1,809,99,1,0,[522],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/Java14PreviewTest.java'],[],8,21.391788663001535,17.40706879899699,0,1,[],[],[],0,0.7895412379975824,473.2360891139979,0,1,[],[],[],0,0.5703439779972541,20.859483202003503,0,1,[],[],[],0,40.59349260999534,373.29294204200505
f1f10c94622eb7134e557d0c8795967d2a9af8d3,345,17,328,95,4,13,"[67, 61, 49, 53]","['./pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyStatementNotInLoopRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UnconditionalIfStatementRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyStaticInitializerRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/MisplacedNullCheckTest.java']","['./pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryFinalModifierTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/ForLoopShouldBeWhileLoopRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/OverrideBothEqualsAndHashcodeTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/ReturnFromFinallyBlockTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryReturnTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UselessOverridingMethodTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyWhileStmtRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/JumbledIncrementerRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyTryBlockRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptySynchronizedBlockRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryTemporariesTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptySwitchStmtRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UselessOperationOnImmutableTest.java']",14,2.2750445689889602,5.034413284000038,1,16,[65],['./pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptySwitchStmtRuleTest.java'],"['./pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryFinalModifierTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/ForLoopShouldBeWhileLoopRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/OverrideBothEqualsAndHashcodeTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/ReturnFromFinallyBlockTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryReturnTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UselessOverridingMethodTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyWhileStmtRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/JumbledIncrementerRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyTryBlockRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyStatementNotInLoopRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UnconditionalIfStatementRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyStaticInitializerRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptySynchronizedBlockRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryTemporariesTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/MisplacedNullCheckTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UselessOperationOnImmutableTest.java']",31,0.9058994879924285,231.06022405500335,4,13,"[51, 67, 63, 53]","['./pmd/regress/test/net/sourceforge/pmd/rules/basic/JumbledIncrementerRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyStatementNotInLoopRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryTemporariesTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/MisplacedNullCheckTest.java']","['./pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryFinalModifierTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/ForLoopShouldBeWhileLoopRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/OverrideBothEqualsAndHashcodeTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/ReturnFromFinallyBlockTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryReturnTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UselessOverridingMethodTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyWhileStmtRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyTryBlockRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UnconditionalIfStatementRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyStaticInitializerRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptySynchronizedBlockRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptySwitchStmtRuleTest.java', './pmd/regress/test/net/sourceforge/pmd/rules/basic/UselessOperationOnImmutableTest.java']",24,0.11140329401678173,5.043679071983206,0,17,[],[],[],0,6.430862267010525,172.0304570370099
58c9f361d3447e10e0ebcfe3cd00c7709a361267,862,1,861,99,0,1,[],[],[],0,25.287291444012226,24.506527984998684,0,1,[],[],[],0,1.2192615629828651,475.077965676006,0,1,[],[],[],0,0.6908282820113527,24.76768576697941,0,1,[],[],[],0,49.36417331501434,453.95008261598923
d6296bd85fb3981124ebd0bbe855c7f9f2a1ec7f,764,1,763,99,0,1,[],[],[],0,12.213482062001276,10.529017166001722,0,1,[],[],[],0,0.5333263099983014,309.2550997969938,1,0,[487],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTLiteralTest.java'],[],10,0.5440840449991811,19.539620329998797,0,1,[],[],[],0,40.528876831999696,396.61099316099535
c6536db0379500953c443284964528d431662bbc,738,1,737,99,0,1,[],[],[],0,7.246319830992434,8.29253327799961,0,1,[],[],[],0,0.3544510450010421,198.2092689219644,0,1,[],[],[],0,0.2244313619667082,8.305941920989426,0,1,[],[],[],0,18.936942816006194,198.64386458604713
9ebf4a0f527b8ca6cc200cd62d364a55640471df,267,2,265,99,1,1,[151],['./pmd/regress/test/net/sourceforge/pmd/SimpleRuleSetNameMapperTest.java'],['./pmd/regress/test/net/sourceforge/pmd/ExternalRuleIDTest.java'],35,2.535094541053695,6.40965348399186,0,2,[],[],[],0,0.5231886130131898,126.71108547496988,1,1,[151],['./pmd/regress/test/net/sourceforge/pmd/SimpleRuleSetNameMapperTest.java'],['./pmd/regress/test/net/sourceforge/pmd/ExternalRuleIDTest.java'],15,0.23005466497852467,12.182564978014852,0,2,[],[],[],0,5.290203511984146,214.87414814897784
516a3866835ada3b51fdd080bb4f9b6a5a4656b1,758,1,757,99,0,1,[],[],[],0,18.505025448999902,15.752828829000237,0,1,[],[],[],0,0.8305944869998712,356.48467041399954,1,0,[493],['./pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTThrowStatementTest.java'],[],15,0.3567417509997881,12.73131116199994,0,1,[],[],[],0,32.4421797980001,322.45543155199994
