,Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Deleted Tests,Deleted Tests
0,2002-09-12 17:01:25,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/5cab6528eae28321fcd7bea44e83bd46e91fac63"", ""5cab6528eae28321fcd7bea44e83bd46e91fac63"")",1,['src/test/org/apache/commons/lang/HashCodeBuilderTest.java'],20,"['testConstructorEx1', 'testConstructorEx2', 'testObject', 'testLong', 'testInt', 'testShort', 'testChar', 'testByte', 'testDouble', 'testFloat', 'testBoolean', 'testObjectArray', 'testLongArray', 'testIntArray', 'testShortArray', 'testCharArray', 'testByteArray', 'testDoubleArray', 'testFloatArray', 'testBooleanArray']"
13,2004-07-07 18:50:28,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/43eba0aec4b19ac87e360dbc5d51af5bc15df4ea"", ""43eba0aec4b19ac87e360dbc5d51af5bc15df4ea"")",1,['src/test/org/apache/commons/lang/mutable/MutableNumberTest.java'],1,['testSetValue']
15,2005-07-23 16:56:59,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/7952a5525444ab03243a9f80375050caf2419770"", ""7952a5525444ab03243a9f80375050caf2419770"")",1,['src/test/org/apache/commons/lang/text/InterpolationTest.java'],5,"['testSimpleVariableSubstitution', 'testNullMap', 'testEmptyMap', 'testNullTemplate', 'testRecursive']"
9,2008-02-27 11:12:38,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/7f5ffc6036d4b2199af5b2d655691bc0af4478ee"", ""7f5ffc6036d4b2199af5b2d655691bc0af4478ee"")",2,"['src/test/org/apache/commons/lang/text/MessageFormatExtensionTest.java', 'src/test/org/apache/commons/lang/text/AbstractMessageFormatTest.java']",30,"['testNoFormatElements', 'testSimpleStrings', 'testSimpleNumbers', 'testSimpleDates', 'testNumber', 'testNumberLooseFormatting', 'testInteger', 'testIntegerLooseFormatting', 'testCurrency', 'testPercent', 'testNumberPattern', 'testDate', 'testDateLooseFormatting', 'testShortDate', 'testShortDateLooseFormatting', 'testMediumDate', 'testLongDate', 'testFullDate', 'testDatePattern', 'testTime', 'testShortTime', 'testMediumTime', 'testLongTime', 'testFullTime', 'testTimePattern', 'testChoice', 'testChoiceLooseFormatting', 'testChoiceRecursive', 'testProperName', 'testMixed']"
12,2009-03-14 21:46:35,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/da46e86e2f392277df00e10dfa543d09a1c85f84"", ""da46e86e2f392277df00e10dfa543d09a1c85f84"")",1,['src/test/org/apache/commons/lang/math/RandomUtilsTest.java'],13,"['testNextInt', 'testNextInt2', 'testJvmRandomNextInt', 'testNextLong', 'testNextLong2', 'testNextBoolean', 'testNextBoolean2', 'testNextFloat', 'testNextFloat2', 'testNextDouble', 'testNextDouble2', 'testUnimplementedMethods', 'testIllegalArguments']"
2,2009-07-20 18:50:16,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/a2773b230e17d71022791d0ad50fafe0f6a856d1"", ""a2773b230e17d71022791d0ad50fafe0f6a856d1"")",1,['src/test/org/apache/commons/lang/UnhandledExceptionTest.java'],4,"['testConstructor_throwable_nullInput', 'testConstructor_stringAndThrowable_nullInput', 'testGetCause', 'testGetCauseAndGetMessage']"
5,2009-07-20 18:50:42,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/26b587c7babccea6ff3f79cc43e1ad2da6c6b3cb"", ""26b587c7babccea6ff3f79cc43e1ad2da6c6b3cb"")",1,['src/test/org/apache/commons/lang/IllegalClassExceptionTest.java'],13,"['testConstructor_classArgs_allNullInput', 'testConstructor_classArgs_nullExpected', 'testConstructor_classArgs_nullActual', 'testConstructor_stringArg_nullInput', 'testConstructor_classObjectArgs_allNullInput', 'testConstructor_classObjectArgs_nullExpected', 'testConstructor_classObjectArgs_nullActual', 'testGetMessage_classArgs_nullInput', 'testGetMessage_classArgs_normalInput', 'testGetMessage_classObjectArgs_nullInput', 'testGetMessage_classObjectArgs_normalInput', 'testGetMessage_stringArg_nullInput', 'testGetMessage_stringArg_validInput']"
14,2009-07-20 18:50:47,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/f04f89bfda742435b86313a7ff01eb975dbbe00c"", ""f04f89bfda742435b86313a7ff01eb975dbbe00c"")",1,['src/test/org/apache/commons/lang/NotImplementedExceptionTest.java'],12,"['testConstructor_', 'testConstructor_String1', 'testConstructor_String2', 'testConstructor_Throwable1', 'testConstructor_Throwable2', 'testConstructor_StringThrowable1', 'testConstructor_StringThrowable2', 'testConstructor_Class1', 'testConstructor_Class2', 'testPrintStackTrace', 'testPrintStackTrace_Stream', 'testPrintStackTrace_Writer']"
7,2009-07-20 18:50:56,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/687dc10a611d3ded6239baa2b8ebdff7ebfb9871"", ""687dc10a611d3ded6239baa2b8ebdff7ebfb9871"")",1,['src/test/org/apache/commons/lang/NullArgumentExceptionTest.java'],3,"['testConstructor_nullInput', 'testGetMessage_nullConstructorInput', 'testGetMessage_validConstructorInput']"
1,2009-07-20 18:51:04,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/d8ae0bdbefd1df0dda95f3402c323ca93962d16e"", ""d8ae0bdbefd1df0dda95f3402c323ca93962d16e"")",1,['src/test/org/apache/commons/lang/IncompleteArgumentExceptionTest.java'],6,"['test1arg_nullInput', 'test1arg_validInput', 'test2arg_allNullInput', 'test2arg_nullString', 'test2arg_nullArray', 'test2arg_validInput']"
