,Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Deleted Tests,Deleted Tests
24,2003-05-29 18:25:12,"=HYPERLINK(""https://github.com/apache/commons-math/commit/e9488d7cf6fe7708fefe306a642f045a75eab498"", ""e9488d7cf6fe7708fefe306a642f045a75eab498"")",5,"['src/test/org/apache/commons/math/UnivariateImplTest.java', 'src/test/org/apache/commons/math/StoreUnivariateImplTest.java', 'src/test/org/apache/commons/math/ListUnivariateImplTest.java', 'src/test/org/apache/commons/math/BeanListUnivariateImplTest.java', 'src/test/org/apache/commons/math/BivariateRegressionTest.java']",19,"['testStats', 'testPropStats', 'testNorris', 'testCorr', 'testNaNs', 'testClear', 'testStats', 'testN0andN1Conditions', 'testSkewAndKurtosis', 'testProductAndGeometricMean', 'testStats', 'testN0andN1Conditions', 'testSkewAndKurtosis', 'testProductAndGeometricMean', 'testStats', 'testN0andN1Conditions', 'testProductAndGeometricMean', 'testRollingMinMax', 'testNaNContracts']"
9,2003-06-21 18:02:51,"=HYPERLINK(""https://github.com/apache/commons-math/commit/5e7fe90154176753fb2d77fddac2bd5035ec7ba6"", ""5e7fe90154176753fb2d77fddac2bd5035ec7ba6"")",1,['src/test/org/apache/commons/math/TestStatisticTest.java'],2,"['testChiSquare', 'testT']"
4,2004-04-02 15:43:35,"=HYPERLINK(""https://github.com/apache/commons-math/commit/5f543b9e930b56844f5a5627f9ed24242509d154"", ""5f543b9e930b56844f5a5627f9ed24242509d154"")",1,['src/test/org/apache/commons/math/analysis/InterpolatorTest.java'],5,"['testInterpolateLinearDegenerateTwoSegment', 'testInterpolateLinearDegenerateThreeSegment', 'testInterpolateLinear', 'testInterpolateSin', 'testIllegalArguments']"
21,2004-05-02 21:57:08,"=HYPERLINK(""https://github.com/apache/commons-math/commit/81da2fafa1b08a181fb32eee3643f3832b033595"", ""81da2fafa1b08a181fb32eee3643f3832b033595"")",1,['src/test/org/apache/commons/math/stat/inference/TestStatisticTest.java'],2,"['testChiSquare', 'testT']"
14,2007-06-07 09:35:04,"=HYPERLINK(""https://github.com/apache/commons-math/commit/b345aa99c18edbdb2d338f325389b771913a64d6"", ""b345aa99c18edbdb2d338f325389b771913a64d6"")",1,['src/test/org/apache/commons/math/distribution/DistributionFactoryImplTest.java'],39,"['testCreateChiSquareDistributionNegative', 'testCreateChiSquareDistributionZero', 'testCreateChiSquareDistributionPositive', 'testCreateFDistributionNegativePositive', 'testCreateFDistributionZeroPositive', 'testCreateFDistributionPositiveNegative', 'testCreateFDistributionPositiveZero', 'testCreateFDistributionPositivePositive', 'testCreateExponentialDistributionNegative', 'testCreateExponentialDistributionZero', 'testCreateExponentialDistributionPositive', 'testCreateGammaDistributionNegativePositive', 'testCreateGammaDistributionZeroPositive', 'testCreateGammaDistributionPositiveNegative', 'testCreateGammaDistributionPositiveZero', 'testCreateGammaDistributionPositivePositive', 'testCreateTDistributionNegative', 'testCreateTDistributionZero', 'testCreateTDistributionPositive', 'testBinomialDistributionNegativePositive', 'testBinomialDistributionZeroPositive', 'testBinomialDistributionPositivePositive', 'testBinomialDistributionPositiveNegative', 'testBinomialDistributionPositiveZero', 'testBinomialDistributionPositiveOne', 'testBinomialDistributionPositiveTwo', 'testHypergeometricDistributionNegativePositivePositive', 'testHypergeometricDistributionZeroPositivePositive', 'testHypergeometricDistributionPositiveNegativePositive', 'testHypergeometricDistributionPositiveZeroPositive', 'testHypergeometricDistributionPositivePositiveNegative', 'testHypergeometricDistributionPositivePositiveZero', 'testHypergeometricDistributionSmallPopulationSize', 'testCauchyDistributionNegative', 'testCauchyDistributionZero', 'testWeibullDistributionNegativePositive', 'testWeibullDistributionZeroPositive', 'testWeibullDistributionPositiveNegative', 'testWeibullDistributionPositiveZero']"
20,2009-02-01 15:13:55,"=HYPERLINK(""https://github.com/apache/commons-math/commit/6a965532e6fa5cb6c12ec3192ee0b8f0ec7a46f0"", ""6a965532e6fa5cb6c12ec3192ee0b8f0ec7a46f0"")",4,"['src/mantissa/tests-src/org/spaceroots/mantissa/algebra/LegendreTest.java', 'src/mantissa/tests-src/org/spaceroots/mantissa/algebra/LaguerreTest.java', 'src/mantissa/tests-src/org/spaceroots/mantissa/algebra/ChebyshevTest.java', 'src/mantissa/tests-src/org/spaceroots/mantissa/algebra/HermiteTest.java']",10,"['testOne', 'testFirstPolynomials', 'testBounds', 'testOne', 'testFirstPolynomials', 'testOne', 'testFirstPolynomials', 'testOne', 'testFirstPolynomials', 'testHighDegree']"
22,2010-11-11 17:13:01,"=HYPERLINK(""https://github.com/apache/commons-math/commit/a151bff2f50cb536fb352d2da8165d04f3465245"", ""a151bff2f50cb536fb352d2da8165d04f3465245"")",1,['src/test/java/org/apache/commons/math/linear/MatrixIndexExceptionTest.java'],1,['testParameter']
17,2010-11-11 18:13:27,"=HYPERLINK(""https://github.com/apache/commons-math/commit/9c804e92f711ae78e8bf9a41725e37bc06b38d71"", ""9c804e92f711ae78e8bf9a41725e37bc06b38d71"")",1,['src/test/java/org/apache/commons/math/linear/InvalidMatrixExceptionTest.java'],1,['testConstructorMessage']
1,2010-11-12 07:57:53,"=HYPERLINK(""https://github.com/apache/commons-math/commit/c9a24d392f1eefd6e2a0c15b584fc0eb18ec594c"", ""c9a24d392f1eefd6e2a0c15b584fc0eb18ec594c"")",1,['src/test/java/org/apache/commons/math/ArgumentOutsideDomainExceptionTest.java'],1,['testConstructor']
8,2011-10-01 09:16:50,"=HYPERLINK(""https://github.com/apache/commons-math/commit/cbb10701a763a000b4311ec290baae0ee2732ac0"", ""cbb10701a763a000b4311ec290baae0ee2732ac0"")",1,['src/test/java/org/apache/commons/math/ConvergenceExceptionTest.java'],2,"['testConstructor', 'testConstructorCause']"
