Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Deleted Tests,Deleted Tests
2002-07-01 16:29:53,"=HYPERLINK(""https://github.com/pmd/pmd/commit/ae464bdb6f7ca19306fe23ff267bf7f8bb17e962"", ""ae464bdb6f7ca19306fe23ff267bf7f8bb17e962"")",1,['pmd/regress/test/net/sourceforge/pmd/RuleFactoryTest.java'],6,"['testCougaar', 'testAll', 'testGeneral', 'testException', 'testConcatenatedList', 'testContains']"
2002-07-02 10:11:46,"=HYPERLINK(""https://github.com/pmd/pmd/commit/e115567351dc4de84df8212d5c5b18775c72369d"", ""e115567351dc4de84df8212d5c5b18775c72369d"")",1,['pmd/regress/test/net/sourceforge/pmd/FunctionalTest.java'],1,['testRemoveMe']
2002-07-08 09:46:13,"=HYPERLINK(""https://github.com/pmd/pmd/commit/ff1ced2f6cebe11df5cb8b34d7030398cdda3b64"", ""ff1ced2f6cebe11df5cb8b34d7030398cdda3b64"")",1,['pmd/regress/test/net/sourceforge/pmd/ReportFactoryTest.java'],3,"['testXML', 'testHTML', 'testUnknownType']"
2002-07-16 10:59:06,"=HYPERLINK(""https://github.com/pmd/pmd/commit/4dc2bcbac3587ce9ee429bc5e37308febae35241"", ""4dc2bcbac3587ce9ee429bc5e37308febae35241"")",5,"['pmd/regress/test/net/sourceforge/pmd/rules/SystemPropsRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/CreatesATimerTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/CreateAThreadRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/SystemOutRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/SystemInRuleTest.java']",6,"['testCreateAThread', 'testCreateATimer', 'testSystemIn', 'testSystemOut', 'testProps', 'testProps2']"
2002-08-01 14:14:18,"=HYPERLINK(""https://github.com/pmd/pmd/commit/2039c4bd97735e425bee119ae130e97238a47668"", ""2039c4bd97735e425bee119ae130e97238a47668"")",1,['pmd/regress/test/net/sourceforge/pmd/cpd/OccurrenceTest.java'],1,['testBasic']
2002-08-02 10:09:21,"=HYPERLINK(""https://github.com/pmd/pmd/commit/fd9ea76ddc7c932d2deae590d138ebf057cd33e4"", ""fd9ea76ddc7c932d2deae590d138ebf057cd33e4"")",7,"['pmd/regress/test/net/sourceforge/pmd/cpd/TokenSetsTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/GSTTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/TileTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/CPDTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/TokenListTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/OccurrencesTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/TokenTest.java']",17,"['testBasic', 'testBasic2', 'test1', 'testBasic', 'testInitialFrequencyCount', 'testContains', 'testDeleteSolo', 'testConstructors', 'testCopy', 'testEquality', 'testContains', 'testAdd', 'testBasic', 'testAdd', 'testHasTokenAfter', 'testBasic', 'testBasic']"
2002-10-02 09:59:45,"=HYPERLINK(""https://github.com/pmd/pmd/commit/228ec52e14c771a2ec971c9667d594efb2909962"", ""228ec52e14c771a2ec971c9667d594efb2909962"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/ScopeTest.java'],4,"['testAdd', 'testUnused', 'testUnused2', 'testUnused3']"
2002-10-09 17:34:43,"=HYPERLINK(""https://github.com/pmd/pmd/commit/3ed605c62b672897be32db455dd5b9aa7071b6d6"", ""3ed605c62b672897be32db455dd5b9aa7071b6d6"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/NamespaceTest.java'],2,"['testBasic', 'testParent']"
2002-10-21 15:43:48,"=HYPERLINK(""https://github.com/pmd/pmd/commit/8665d850e7fe7cc630ed69ac5bb1d99a17bc8449"", ""8665d850e7fe7cc630ed69ac5bb1d99a17bc8449"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/LookupControllerTest.java'],1,['test1']
2002-10-22 08:32:35,"=HYPERLINK(""https://github.com/pmd/pmd/commit/d27496d6da7247cce2e00bdeb1e566a02e8159a5"", ""d27496d6da7247cce2e00bdeb1e566a02e8159a5"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/SymbolTableTest.java'],4,"['testPush', 'testPop', 'testPeek', 'testParentLinkage']"
2002-11-06 13:13:48,"=HYPERLINK(""https://github.com/pmd/pmd/commit/b5299c890df4c8fc49835da5fe8a44a7424c150c"", ""b5299c890df4c8fc49835da5fe8a44a7424c150c"")",1,['pmd/regress/test/net/sourceforge/pmd/rules/AvoidStringLiteralsRuleTest.java'],1,['testLiteralStringArg']
2003-01-16 13:16:50,"=HYPERLINK(""https://github.com/pmd/pmd/commit/8fc93f5e890c5c55819abbc16ab7bbd297dbaf95"", ""8fc93f5e890c5c55819abbc16ab7bbd297dbaf95"")",1,['pmd/regress/test/net/sourceforge/pmd/jdbc/JDBCReportListenerTest.java'],6,"['testLongConstructor', 'testPropConstructor', 'testSingleViolation', 'testMultiViolation', 'testSingleMetric', 'testMultiMetric']"
2003-03-26 16:28:35,"=HYPERLINK(""https://github.com/pmd/pmd/commit/48f79c0a8ea0cec04d22d5371f82af85cb9e7120"", ""48f79c0a8ea0cec04d22d5371f82af85cb9e7120"")",6,"['pmd/regress/test/net/sourceforge/pmd/cpd/TokenSetsTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/GSTTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/TileTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/ResultsTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/CPDTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/OccurrencesTest.java']",15,"['testBasic', 'testBasic2', 'test1', 'testBasic1', 'testBasic2', 'testInitialFrequencyCount', 'testContains', 'testDeleteSolo', 'testBasic', 'testConstructors', 'testCopy', 'testEquality', 'testContains', 'testAdd', 'testBasic']"
2003-03-27 14:11:54,"=HYPERLINK(""https://github.com/pmd/pmd/commit/0ddf536491b583b2f62a1ec9b95e1b8678b7fffc"", ""0ddf536491b583b2f62a1ec9b95e1b8678b7fffc"")",2,"['pmd/regress/test/net/sourceforge/pmd/cpd/TokenEntryTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/TokenListTest.java']",4,"['testBasic', 'testBasic', 'testAdd', 'testCode']"
2003-03-28 13:39:43,"=HYPERLINK(""https://github.com/pmd/pmd/commit/950d67c55ef8469da841ae9f1f38c3fa56a9d853"", ""950d67c55ef8469da841ae9f1f38c3fa56a9d853"")",1,['pmd/regress/test/net/sourceforge/pmd/cpd/LocatorTest.java'],1,['testSimple']
2003-04-16 10:19:26,"=HYPERLINK(""https://github.com/pmd/pmd/commit/b1e6c2253df5341a994865982aed7de6a3237090"", ""b1e6c2253df5341a994865982aed7de6a3237090"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/SymbolFacadeTest.java'],1,['testBasic']
2003-04-22 10:42:07,"=HYPERLINK(""https://github.com/pmd/pmd/commit/10304f2bdddf8c8b9180f560d323b0d3f1b73d79"", ""10304f2bdddf8c8b9180f560d323b0d3f1b73d79"")",1,['pmd/regress/test/net/sourceforge/pmd/ant/PathCheckerTest.java'],4,"['testPathCheckerRelativeWin', 'testPathCheckerAbsoluteWin', 'testPathCheckerRelativeNix', 'testPathCheckerAbsoluteNix']"
2003-06-25 08:06:50,"=HYPERLINK(""https://github.com/pmd/pmd/commit/833b4c3884b5a8ede7730c39be3da1cdcbf2f847"", ""833b4c3884b5a8ede7730c39be3da1cdcbf2f847"")",1,['pmd/regress/test/net/sourceforge/pmd/RuleSetReadWriteTest.java'],1,['testReadWrite']
2003-07-31 09:29:38,"=HYPERLINK(""https://github.com/pmd/pmd/commit/5f1f887f5360aedf8ddd97fbf7d64e834cbaf85c"", ""5f1f887f5360aedf8ddd97fbf7d64e834cbaf85c"")",1,['pmd-swingui/regress/test/net/sourceforge/pmd/RuleSetReadWriteTest.java'],1,['testReadWrite']
